sentences,label
İçimdeki huzursuzluk bitmek bilmiyor.,1
Dışarı çıkmak istemedim.,1
Her şey anlamsız gelmeye başladı.,1
Bugün kimseyle konuşmadım.,1
Düşüncelerim çok karışık.,1
Kimse beni anlamıyor gibi hissediyorum.,1
Kendimi çok güçsüz hissediyorum.,1
Geçmişi düşündükçe içim acıyor.,1
İçimde kırık bir şeyler var.,1
Bugün umutlu hissetmek çok zordu.,1
Sabahları uyanmak bir yük.,1
Ağlamamak için kendimi zor tuttum.,1
Karanlık düşünceler aklımı sardı.,1
Kalbim kırılmış gibi hissediyorum.,1
Hayat renkli gelmiyor.,1
Sessizlik içimi acıtıyor.,1
Sürekli bir eksiklik hissediyorum.,1
Geçmiş hatalarım aklıma geldi.,1
Kalabalıkta bile yalnız hissediyorum.,1
Kendimi sorguluyorum.,1
Gülümsemek yorucu geliyor.,1
Bugün her şey anlamsızdı.,1
Güvensizlik içimi sardı.,1
"Ben mutlu değilim, herkes öyle görünüyor.",1
Kapana kısılmış gibiyim.,1
Yalnızlık dayanılmaz hale geldi.,1
İçimde çığlık atmak isteyen biri var.,1
Uykusuzluk hayatımın parçası oldu.,1
Sevdiğim kişi artık yanımda değil.,1
Geçmişten kurtulamıyorum.,1
Eskisi gibi hissedemiyorum.,1
Hayal kırıklıkları peşimi bırakmıyor.,1
Sebepsiz bir boşluk içindeyim.,1
Sessizliği dinlemek istedim.,1
Ağırlık taşıyorum ama anlatamıyorum.,1
"Boğazım düğümlendi, derdimi anlatamadım.",1
"Her şey üst üste geldi, gücüm tükendi.",1
Kendimi aynada tanıyamadım.,1
Kalabalığın içinde daha da yalnızlaştım.,1
İçimde fırtınalar kopuyor.,1
Ağlamakla gülmek arasında kaldım.,1
"Kalbim kırılıyor, engel olamıyorum.",1
Umudu kaybettiğim yerlere artık bakamıyorum.,1
Sürekli kaygı ve korku taşıyorum.,1
Sevdiğim şarkılar bile bana neşe vermiyor.,1
Sessizliğin sesi bile canımı yaktı.,1
Umutsuzluk içinde yürüyorum.,1
Fırtınanın sessiz çığlıklarını içimde hissediyorum.,1
Hiçbir şey yapmak istemedim.,1
Kendimi yorgunluktan bile yorgun hissediyorum.,1
Dilek tutacak hevesim kalmadı.,1
Herkes ilerlerken ben yerimde sayıyorum.,1
Nefes almak bile zor geliyor.,1
Geçmişin yükü beni eziyor.,1
Kalabalıklar bile yalnız hissettiriyor.,1
Kimse sessiz çığlıklarımı duymuyor.,1
İçimdeki sözleri dökemiyorum.,1
Kaybettiklerimin acısını derinden hissettim.,1
Boşluk sevgiyle bile dolmuyor.,1
Kendimi anlamaya çalıştıkça kayboldum.,1
"Gözlerim donuk, eskisi gibi değil.",1
"Sözler acıtıyor, sessizlik daha da fazla.",1
Geçmiş hatalarım içimi ezdi.,1
Hatıralar artık acı veriyor.,1
Tamamlanmamışlık hissi içimi kemiriyor.,1
Hayat sadece acıdan ibaret gibi.,1
Güvendiğim insanlar beni kırdı.,1
Ağlamak bile yetmiyor.,1
"Bir noktaya kilitlendim, zaman geçti anlamadım.",1
Gülümsemek bile zor geldi.,1
Umutlarımı yeniden kurmaktan yoruldum.,1
"İçim kan ağlıyor, kimse bilmiyor.",1
Güçlü görünmek beni tüketiyor.,1
Yastığa gözyaşımı bıraktım.,1
Ayağa kalkmak bile zor artık.,1
Hayal kurmak bile korkutuyor.,1
Bugün hayallerim kırıldı.,1
Umutsuzluk parçaları içimde dağınık.,1
Bugün hiçbir şeye sevinemedim.,1
Her nefeste eksiliyorum gibi hissediyorum.,1
Gözlerimi kapatsam bile yalnızım.,1
Kaygılar beni içten içe yiyor.,1
Dünya artık benim için dönmüyor.,1
Yıldızlar bile solgun görünüyordu.,1
Sessizliğimle baş başa kaldım.,1
Gülümsemek istesem de içim kırık.,1
Mutluluğa ulaşacak gücüm yok gibi.,1
Geçmişi hatırlamak beni yaraladı.,1
Küçük şeyler bile canımı yakıyor.,1
Zaman geçse de boşluk kalıyor.,1
Yalnızlık dört duvar arasında yankılanıyor.,1
Düşlerim bile artık solgun renkte.,1
"Bugün çok fazla işim vardı, hangisinden başlayacağımı bilemedim.",1
Sunuma çalışmaktan gece boyunca uyuyamadım.,1
Projelerin yetişme baskısı beni çok yordu.,1
Zamanla yarışmak artık çok stresli geliyor.,1
En küçük hatadan korkuyorum.,1
Sınav yaklaştıkça gerilim artıyor.,1
İşten gelen mailler beni endişelendiriyor.,2
Bugün sürekli sorunlarla uğraştım.,2
Toplantı öncesi kalbim hızla atıyordu.,2
Her şeyi unutacakmışım gibi bir gerginlik var.,2
Yapılacaklar listesi aklımdan çıkmıyor.,2
Sürekli bir telaş içindeyim.,2
Başarısızlık korkusu beni yoruyor.,2
Yetişememe düşüncesi beni çok zorluyor.,2
Üzerimde çok fazla sorumluluk var.,2
Daha sabah işe giderken stres başlıyor.,2
İnsanlarla konuşmak bile zor geliyor.,2
Ne yapsam eksik kalıyor gibi hissediyorum.,2
Telefonun sesi bile sinirimi bozuyor.,2
Trafikte kalmak beni çıldırttı.,2
Hata yaparsam her şey bozulacak gibi.,2
Midem stresten ağrımaya başladı.,2
Bugün hiçbir şeye odaklanamadım.,2
Küçük şeylere bile abartılı tepki verdim.,2
Her an yeni bir iş ekleniyor.,2
"Her şey üst üste geldi, kafam karıştı.",2
Kontrolü kaybetmekten korkuyorum.,2
Sunum için uykusuz kaldım.,2
Kendime güvenim azaldı.,2
Toplantıda hata yapmaktan çekindim.,2
Sabah kalkarken bile stresliydim.,2
Yarınki sınavı düşündükçe gerginim.,2
Ne kadar çalışsam da yetmiyor gibi.,2
Telefon çaldıkça içim daralıyor.,2
İşler bitmediği için kendimi suçladım.,2
Yetişememek beni çok etkiliyor.,2
Stresten nefes almakta zorlanıyorum.,2
Beklentiler baskı yaratıyor.,2
Bir anda yüküm arttı.,2
En ufak eleştiri moralimi bozuyor.,2
Aklım hiç durmadan çalışıyor.,2
Planlar değişince strese giriyorum.,2
Gerginlik gün boyu sürdü.,2
Bugün her şey ters gitti.,2
Kaygılar içimi sardı.,2
Son anda işler arttı.,2
Üzerimde baskı hissediyorum.,2
"Zaman yetmiyor, panik oluyorum.",2
Aceleyle çalışmak beni yoruyor.,2
Bugün işler karıştı.,2
Ne yapacağımı şaşırdım.,2
Kendimi kaybolmuş gibi hissettim.,2
"Toplantıya hazır değildim, endişeliydim.",2
Yapılacaklar çok fazla geldi.,2
Her an bir şeyi unutacak gibiydim.,2
Telefon çalınca irkiliyorum.,2
Yetişemediğimde panik oluyorum.,2
Yeni görevler beni geriyor.,2
Öğle yemeğini bile unuttum.,2
Gözlerim ekrana bakmaktan yandı.,2
Trafikte çok gerildim.,2
İnsanlar sürekli bir şey istiyor.,2
Hatalar büyük kaygı yaratıyor.,2
Nefes almak bile stresliydi.,2
Kafam yapılacaklarla dolu.,2
Sınav düşüncesi bile geriyor.,2
Her şeyi yetiştirememe korkusu var.,2
Nereden başlayacağımı bilmiyorum.,2
Omuzlarımda yük hissediyorum.,2
Yastığa başımı koysam da uyuyamıyorum.,2
Toplantılar ardı ardına geldi.,2
Çok çalışsam da yetmiyor.,2
Alarm sesi beni huzursuz ediyor.,2
Sesler bile beni strese sokuyor.,2
Hata yaparsam her şey çöker gibi geliyor.,2
"İşler birikiyor, yetişemiyorum.",2
Kendimi sürekli kontrol ediyorum.,2
Zamanla yarışmak beni yıprattı.,2
Acele etme hissi hiç bitmiyor.,2
Dinlenmek bile suçluluk yaratıyor.,2
Planlarım bozulunca sıkıştım.,2
İşim bitmeden yenisi geliyor.,2
Nefes almak bile yetmiyor gibi.,2
Rahatlamayı başaramadım.,2
Küçük şeyler büyük geliyor.,2
Zamana yetişmek imkânsızdı.,2
Midemde düğüm vardı.,2
Yetişememekten korkuyorum.,2
Stresle erken uyandım.,2
İşler bitmediği halde düşünmeye devam ediyorum.,2
Dinlenirken bile aklım meşgul.,2
Zihinsel olarak çok yoruldum.,2
Kendimi toparlayamadım.,2
Her dakikayı hesaplıyorum.,2
Baskı altında hata yapmaktan korkuyorum.,2
"Bugün zaman hızla geçti, ben yetişemedim.",2
Gün koşuşturmayla geçti.,2
Her şey üstüme geldi.,2
Kendimi sıkışmış gibi hissettim.,2
Yeni işler durmadan ekleniyor.,2
Aklımda hep düşünceler dolaşıyor.,2
Gelecek kaygısı içimi kemiriyor.,2
Kalabalık içinde bile boğuldum.,2
Gece iş düşünmekten uyuyamadım.,2
Panik duygusu bedenimi sardı.,2
"Vücudum gergindi, gevşeyemedim.",2
İşler bitse de stres sürüyor.,2
Hiç gevşeyemedim.,2
Detaylara takılıp strese girdim.,2
Bugün her şey çok büyüktü gözümde.,2
